Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Average Crosstalk per overlaps,2,36,all,all, ,-20.55341012239156,-20.58262838022285,-20.740568653789314,-20.324756110667234,-20.838109378617457
Average Crosstalk per overlaps,2,37,all,all, ,-20.86186759464883,-20.697338861969776,-20.64870449304054,-21.02473666194348,-20.782343701106058
Average Crosstalk per overlaps,2,44,all,all, ,-20.971651834243616,-20.52261305693447,-20.794864861698333,-20.533580542788652,-20.4881315881482
Average Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,3,1,all,all, ,-31.686509679246896,-31.87782606206912,-32.315617659375434,-31.581700196419728,-32.42061011503252
Average Crosstalk per overlaps,3,2,all,all, ,-29.613815352016555,-29.690305833468148,-29.547083855451092,-29.423199967619638,-29.642271384184482
Average Crosstalk per overlaps,3,3,all,all, ,-27.946780383388372,-28.206740263694023,-27.705368516845407,-27.547925300239736,-27.946769247926486
Average Crosstalk per overlaps,3,4,all,all, ,-26.790552891402758,-26.433851430594295,-26.922159083259295,-26.732467255742026,-27.24820332064899
Average Crosstalk per overlaps,3,5,all,all, ,-25.85091186192223,-26.083338018226353,-25.968035183393678,-25.95407821885592,-26.341294563513152
Average Crosstalk per overlaps,3,6,all,all, ,-25.72820786539206,-24.99740049446172,-25.300422049712306,-25.283702659560333,-25.157796172203035
Average Crosstalk per overlaps,3,7,all,all, ,-25.325987024213767,-25.248894043913378,-25.198879877505583,-25.311204520471694,-25.247132215786568
Average Crosstalk per overlaps,3,8,all,all, ,-24.782824943493416,-24.81721516306825,-24.963716678626234,-24.38911110613437,-24.822399308422067
Average Crosstalk per overlaps,3,9,all,all, ,-23.82876417061246,-24.163141715733982,-23.825762485428267,-23.954818756429173,-24.06415646328397
Average Crosstalk per overlaps,3,10,all,all, ,-23.371431477024924,-23.634543179419907,-23.665757948017575,-23.538154700675623,-23.79470653235717
Average Crosstalk per overlaps,3,11,all,all, ,-23.08254390207739,-23.877881859954343,-23.756852127078467,-23.316265176642403,-23.369063899734
Average Crosstalk per overlaps,3,12,all,all, ,-23.2432834381141,-23.02846387019208,-23.080145649852632,-23.085532255523912,-23.389048512319516
Average Crosstalk per overlaps,3,13,all,all, ,-22.604373694209237,-22.603940016762614,-23.073979252581857,-23.236816062250515,-22.744982400298763
Average Crosstalk per overlaps,3,14,all,all, ,-22.736375537842395,-22.730751897284765,-22.851204862965847,-22.60096611617471,-22.56361850040938
Average Crosstalk per overlaps,3,15,all,all, ,-22.143850536396368,-21.977730455030038,-22.109161098799234,-22.32000430218433,-22.307439672061804
Average Crosstalk per overlaps,3,16,all,all, ,-22.43739195477169,-22.221011269813953,-22.16383632763146,-22.23729187073973,-22.4536510881308
Average Crosstalk per overlaps,3,17,all,all, ,-22.10900511015107,-21.943431536143972,-22.436780159426306,-21.921955832292472,-22.015884315959998
Average Crosstalk per overlaps,3,18,all,all, ,-21.854201681754553,-21.892548844403724,-21.98571985103318,-21.9838393540659,-22.16079964239951
Average Crosstalk per overlaps,3,19,all,all, ,-21.914375632846152,-21.95758722892749,-21.855148636826826,-21.68136145932668,-22.18605289307
Average Crosstalk per overlaps,3,20,all,all, ,-21.557424132476722,-21.614913696171513,-21.69494813446887,-21.78056461230223,-21.455934291934536
Average Crosstalk per overlaps,3,21,all,all, ,-21.7978624905184,-21.658133541163366,-21.57436936452308,-21.389497355122355,-21.398178913631053
Average Crosstalk per overlaps,3,22,all,all, ,-21.572164653963846,-21.476210379846105,-21.255520913208148,-21.54864483163807,-21.705954846871787
Average Crosstalk per overlaps,3,23,all,all, ,-21.294872118461043,-21.64412504560385,-21.588249177276143,-21.31906704148261,-21.455896566812946
Average Crosstalk per overlaps,3,24,all,all, ,-21.1911596566936,-21.137916667046678,-21.284755722361894,-21.249466357372434,-21.301708031553208
Average Crosstalk per overlaps,3,25,all,all, ,-21.160061804783997,-21.229644235734934,-21.069879093698294,-21.256486196759496,-21.086508023685226
Average Crosstalk per overlaps,3,27,all,all, ,-20.962450938385945,-21.056074980102057,-21.06419261688331,-21.124425943640656,-21.166623263946803
Average Crosstalk per overlaps,3,29,all,all, ,-21.141084032047985,-21.545924561492434,-20.949074865069278,-21.032756848228406,-21.097631745827023
Average Crosstalk per overlaps,3,31,all,all, ,-21.091677109580864,-20.909085243106556,-20.918522385077004,-20.912221169177514,-20.915308924469542
Average Crosstalk per overlaps,3,32,all,all, ,-20.944859591549594,-21.07225255399324,-20.828106535443982,-20.959033990521156,-20.92272900978275
Average Crosstalk per overlaps,3,36,all,all, ,-20.934553671533646,-20.654076911909943,-20.635168017082563,-20.879219318699892,-20.881695465000636
Average Crosstalk per overlaps,3,37,all,all, ,-20.654365943815442,-20.485033984930563,-20.701778320288465,-20.616100877220493,-20.82424420969085
