Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Minimum Crosstalk per overlaps,2,11,all,all, ,-27.28933227713462,-24.436974992327126,-25.85344933085497,-23.268766528465925,-26.748363246192994
Minimum Crosstalk per overlaps,2,34,all,all, ,0.0,0.0,0.0,0.0,0.0
Minimum Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,3,1,all,all, ,-34.948500216800944,-36.70941280735775,-35.228787452803374,-34.71368925830571,-35.74031267727719
Minimum Crosstalk per overlaps,3,2,all,all, ,-37.44727494896694,-36.19788758288394,-31.93820026016113,-36.375175252488255,-32.730012720637376
Minimum Crosstalk per overlaps,3,3,all,all, ,-31.14638779968488,-31.14638779968488,-31.426675035687314,-31.726307269461746,-31.480625354554377
Minimum Crosstalk per overlaps,3,4,all,all, ,-31.146387799684877,-29.897000433601878,-30.68881289407813,-29.897000433601878,-31.480625354554377
Minimum Crosstalk per overlaps,3,5,all,all, ,-28.156240755398322,-29.507819773298184,-28.181564120552274,-30.225812697548434,-33.18758762624413
Minimum Crosstalk per overlaps,3,6,all,all, ,-29.488474775526186,-30.634862575211066,-27.44727494896694,-28.20908023046006,-29.44621668625
Minimum Crosstalk per overlaps,3,7,all,all, ,-27.678512937438317,-27.678512937438317,-26.709412807357754,-28.289564761456614,-28.258432407215185
Minimum Crosstalk per overlaps,3,8,all,all, ,-27.220938031831565,-26.102434403821636,-26.44612342013426,-27.95880017344075,-27.28933227713462
Minimum Crosstalk per overlaps,3,10,all,all, ,-26.753060861382252,-26.54953175351645,-26.2954859557755,-28.170693164140133,-25.2682631654652
Minimum Crosstalk per overlaps,3,11,all,all, ,-23.456629946131372,-23.780291752939732,-24.014283365178592,-25.287082889410613,-25.54707230574028
Minimum Crosstalk per overlaps,3,34,all,all, ,0.0,0.0,0.0,0.0,0.0
Minimum Crosstalk per overlaps,4,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,4,1,all,all, ,-36.497519816658375,-37.67851293743832,-36.497519816658375,-36.19788758288394,-39.20818753952375
Minimum Crosstalk per overlaps,4,2,all,all, ,-33.85705552255026,-34.948500216800944,-33.92187679782946,-37.166987712964506,-35.68636235841013
Minimum Crosstalk per overlaps,4,3,all,all, ,-31.60396270529163,-35.40607512240769,-30.177287669604315,-34.43697499232713,-32.39577516576788
Minimum Crosstalk per overlaps,4,4,all,all, ,-30.68881289407813,-32.39577516576788,-30.68881289407813,-33.18758762624413,-32.237832493935564
Minimum Crosstalk per overlaps,4,5,all,all, ,-30.177287669604315,-29.54937937100976,-28.347980833744447,-33.18758762624413,-31.426675035687314
Minimum Crosstalk per overlaps,4,6,all,all, ,-28.927900303521316,-30.934494808985498,-30.91729500504276,-28.13608784304507,-27.924194852345686
Minimum Crosstalk per overlaps,4,7,all,all, ,-29.942476711109087,-27.678512937438317,-27.437176140271124,-28.13608784304507,-29.897000433601878
Minimum Crosstalk per overlaps,4,8,all,all, ,-27.624562618571254,-27.364428294922078,-26.709412807357754,-27.264586085856067,-27.624562618571254
Minimum Crosstalk per overlaps,4,10,all,all, ,-26.930544375266056,-26.339577144826052,-26.9966543199767,-25.917600346881503,-26.468076010190558
Minimum Crosstalk per overlaps,4,11,all,all, ,-26.802695056697754,-26.375175252488255,-24.56391769860918,-27.09520186669327,-26.736173173923824
Minimum Crosstalk per overlaps,4,34,all,all, ,0.0,-19.807452007072616,-19.7701150103928,0.0,0.0


Maximum Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,0,1,all,all, ,-30.969100130080562,-32.21848749616356,-32.27243781503062,-27.166987712964502,0.0
Maximum Crosstalk per overlaps,0,2,all,all, ,-24.94850021680094,-24.64886798302651,-24.15668775632469,-27.44727494896694,-30.177287669604315
Maximum Crosstalk per overlaps,0,3,all,all, ,-25.917600346881503,-29.208187539523752,-26.40978057358332,-28.628268069746884,-28.4163750790475
Maximum Crosstalk per overlaps,0,4,all,all, ,-25.917600346881503,-24.15668775632469,-25.917600346881503,-25.917600346881503,-25.917600346881503
Maximum Crosstalk per overlaps,0,5,all,all, ,-22.636718062901334,-26.220927131979582,-25.117179469673893,-26.19788758288394,0.0
Maximum Crosstalk per overlaps,0,6,all,all, ,-25.61796811310707,-26.587068243187634,0.0,-25.406075122407692,-24.395809330378807
Maximum Crosstalk per overlaps,0,7,all,all, ,-23.699112850717942,-26.709412807357754,-25.46002544127475,0.0,-25.19673605405126
Maximum Crosstalk per overlaps,0,8,all,all, ,-23.187587626244127,-26.251837901751003,-23.119193380941073,-26.18962317540612,0.0
Maximum Crosstalk per overlaps,0,10,all,all, ,-22.272437815030624,-22.288536511850147,-24.368580747024073,0.0,0.0
Maximum Crosstalk per overlaps,0,11,all,all, ,-24.301246920434387,-24.670152228349828,0.0,-25.257991580391884,0.0
Maximum Crosstalk per overlaps,0,34,all,all, ,-20.627209807029946,0.0,0.0,0.0,0.0
Maximum Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,1,1,all,all, ,-30.177287669604315,-32.21848749616356,-30.389180660303698,-32.21848749616356,-32.21848749616356
Maximum Crosstalk per overlaps,1,2,all,all, ,-24.15668775632469,-24.49092531119419,-29.208187539523752,-24.15668775632469,-24.15668775632469
Maximum Crosstalk per overlaps,1,3,all,all, ,-25.406075122407692,-25.686362358410125,-25.61796811310707,-27.659167939666318,-25.406075122407692
Maximum Crosstalk per overlaps,1,4,all,all, ,-23.699112850717942,-26.709412807357754,-24.15668775632469,-23.24153794511119,-25.39842235422657
Maximum Crosstalk per overlaps,1,5,all,all, ,-25.282737771670437,-25.282737771670437,-23.297541469258757,-22.37285719797203,-25.228787452803374
Maximum Crosstalk per overlaps,1,6,all,all, ,-24.38368665727646,-21.7033893016659,-21.316721192672684,-26.819366650372384,-24.436974992327126
Maximum Crosstalk per overlaps,1,7,all,all, ,-23.832994824891472,0.0,-20.51587034221399,0.0,-25.798608113884427
Maximum Crosstalk per overlaps,1,8,all,all, ,-23.257076225797405,-22.730012720637376,-23.318804399463176,-22.6185391128794,-22.90730039024169
Maximum Crosstalk per overlaps,1,10,all,all, ,-23.71465113140416,0.0,-24.661916399909952,-22.23783249393556,-25.543957967264028
Maximum Crosstalk per overlaps,1,11,all,all, ,0.0,-23.95246104267166,0.0,0.0,-22.44972548463494
Maximum Crosstalk per overlaps,1,34,all,all, ,0.0,0.0,0.0,0.0,0.0
Maximum Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,2,1,all,all, ,-30.177287669604315,-30.177287669604315,-30.177287669604315,-28.927900303521316,-33.18758762624413
Maximum Crosstalk per overlaps,2,2,all,all, ,-24.436974992327126,-24.94850021680094,-24.15668775632469,-23.54970935278857,-28.927900303521316
Maximum Crosstalk per overlaps,2,3,all,all, ,-25.40607512240769,-26.19788758288394,-26.146491186359828,-26.532125137753436,-25.40607512240769
Maximum Crosstalk per overlaps,2,4,all,all, ,-24.368580747024073,-23.45044618713732,-24.15668775632469,-24.94850021680094,-24.436974992327126
Maximum Crosstalk per overlaps,2,5,all,all, ,-23.645162531850875,-23.46787486224656,-23.440387777965054,-23.399480616943507,-25.06022199992508
Maximum Crosstalk per overlaps,2,6,all,all, ,-24.709609460148442,-23.876400520322253,-24.248121550723386,-24.15668775632469,-24.15668775632469
Maximum Crosstalk per overlaps,2,7,all,all, ,-23.738063289553182,-23.833883588799015,-24.07699845961194,-23.51686464965595,-23.788237182249645
Maximum Crosstalk per overlaps,2,8,all,all, ,-20.274886042495876,-23.119193380941073,-24.254286129216254,-23.257076225797405,-23.06524306207401
Maximum Crosstalk per overlaps,2,10,all,all, ,-24.21393531144077,-21.93820026016113,-22.286575371686304,-22.272437815030624,-22.272437815030624
Maximum Crosstalk per overlaps,2,11,all,all, ,-21.677344577018715,-24.062218145337937,-21.836008608344265,-23.268766528465925,-23.30357355850377
Maximum Crosstalk per overlaps,2,34,all,all, ,0.0,0.0,0.0,0.0,0.0
Maximum Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,3,1,all,all, ,-29.597368199827446,-31.726307269461746,-27.904849854573687,-30.177287669604315,-30.177287669604315
Maximum Crosstalk per overlaps,3,2,all,all, ,-27.166987712964502,-24.94850021680094,-24.368580747024073,-27.166987712964502,-24.15668775632469
Maximum Crosstalk per overlaps,3,3,all,all, ,-25.40607512240769,-25.40607512240769,-25.54618226683584,-24.368580747024073,-25.40607512240769
Maximum Crosstalk per overlaps,3,4,all,all, ,-24.15668775632469,-24.15668775632469,-23.119193380941073,-24.15668775632469,-23.119193380941073
Maximum Crosstalk per overlaps,3,5,all,all, ,-24.327021149312493,-23.64516253185088,-23.10395199139611,-23.49387231700331,-23.813709072388445
